Timestamp,o pana e sitelen.,"sitelen li tan ala tan ma ilo kulupu? (ni li ken: ilo Discord, lipu Facebook, ilo Telegram, ilo YouTube).
tan la sina o sona e ni: seme li pana e sitelen lon tenpo seme?",o pana e nasin tawa sitelen lon ma,ni li tan ma seme?,ni li tan tenpo seme?,seme li sitelen e ni? o pana e nimi ona lon ma,tan li lon la o pana e nasin tan pi sitelen ni,sitelen li tan seme li lon nasin seme?,ni li tan tenpo seme?,seme li sitelen e ni? o pana e nimi ona,o pana e sitelen Lasina pi sitelen ni. nimi li lon poki nimi la o pana e kalama nimi.,sina wile toki ante la o toki!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variants used,,other variations
6/4/2024 11:04:06,https://drive.google.com/open?id=1MwDXUejfouRVmFMJ8DtKRaa0DF56_9_l,tan (yes),https://www.youtube.com/watch?v=w52c4U9yndc,YouTube,11/21/2020,jan Ke Tami,,,,,"ni li suli tawa mi: nanpa wan la, seli li pona tawa mi. a seli li ken tan ken mute. nanpa tu la kulupu pi jan ale li pona mute. ken pi kulupu ni li suli a! nasin sona ona en kalama muisi ona li ken pona e ale. mi ale li tan sona pi jan mute. jan wan li ken pali lili tawa pali suli. jan o pali kepeken kulupu. nanpa tu la sina ale li pona mute mute. mi toki e pona tawa sina. pali sina pi kulupu LSW li musi li sin li pali pona li lon e pilin pona tawa mi. sina pona.",sitelen pona pona!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,is spp,,
6/5/2024 18:10:11,https://drive.google.com/open?id=1tPMIbyQT7h-YtPE4-p_qdxHEkGMPETGt,tan (yes),https://discord.com/channels/948448338662010910/948673862332194846/1247873426337693787,Discord,6/5/2024,aer0a,,,,,"toki ali lon ma li jo e ijo sama mute: ki ken toki e wile sona. mi ken toki e ijo pi jo mi. mi ken toki e pali pi wile mi tawa jan. taso, namako la, toki mi li jo e ijo ante mute: jan pi toki Kanse li ken ala pilin e ma pi kipisi tawa nimi ""un"" tawa nimi ""une"" pi kipisi tawa mije tawa meli. taso ni la, jan pi toki Eso li jo e nimi ijo lili wan tawa jan mije tawa jan meli: nimi ""tema"". toki Kipa (toki pi ma Oselija) la ijo li ken mije anu meli ante ante - anu kili.

toki ali li pana e sona pi jan ona. lipu Mi Lukin E Soweli la jan pi sona toki Alesanta Akenwa li tawa ma kasi telo pi weka tawa jan e mi li tawa tomo sona nanpa tu wan pi ma Amelika pi poka pi ma Kalalinula e mi tan ni: ona li wile pana e sona pi suli nimi pi suli pi ken pi toki pi tan sona - pi kama lon tenpo ni: toki li weka lon tenpo ali.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mars ""mije"" is used 2 times. 
Venus ""meli"" is used 2 times.
lon is extended 3 times.
anu is extended 2 time.
Long pi is used 21 times",,"Cartouche is underlined by long pi.
Nasin Kalama Sitelen is used.
Stacking and Scaling is used."
6/19/2024 13:48:25,https://drive.google.com/open?id=1IRHEJYCYrRbKaSM-ac3b8MF7gy4lBl3R,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1217238831246479420,Discord,3/12/2024,jan Kita,,,,,"a tomo pi sitelen pona taso li lon. pona a.
jan Ke Tami li sitelen luka lon ilo la ala li mu ike e ona la pona.
taso. mi wile sona.
mi sitelen pi kiwen ni la seme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Directional ni is used 1 time,,"Nasin Kalama Sitelen is used.
Stack and Scaling is used."
6/19/2024 13:54:12,https://drive.google.com/open?id=1cE_w7o93Yn3brTLmobvBwjn-tzwK-teP,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1217253742525808700,Discord,3/13/2024,jan Kita,,,,,"mi kepeken ilo paint.net sama sitelen luka mute mi.
taso ona li ike tawa nasin kiwen li ken pali e sijelo ala e linja taso.
ilo Paint pi esun 🪟 li ken ni.
ante la mi kepeken supa sitelen ilo pi esun XP-Pen tan lili pi mani wile ona li kepeken kule pi ilo musi Pico-8 tan suwi ona.
sina wile sona e ni anu seme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skew ""ante"" is used 1 time.
Directional ni is used 2 times
Long ni is used 1 time.
Long pi is used 4 times.",,"Latin is used in Cartocuhe.
Windows name glyph is used.
Stacking and Scaling is used.
Cartouches are underlined by long pi."
6/19/2024 13:56:10,https://drive.google.com/open?id=15iapUtj35el_hfK7EZ6QMTI9ZD5sUaRM,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1217885362655854692,Discord,3/14/2024,jan Kita,,,,,jan Pwkwwkats anu waso Pakukwuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Both Nasin Kalama Sitelen 
and Nasin Kalama Sitelen Pu are used."
6/19/2024 13:58:36,https://drive.google.com/open?id=1rjgLSL_82VbnxsUrVomn6YjtX-GP9KUi,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1219387504386506845,Discord,3/18/2024,.hecko,,,,,"lon a. tomo li wawa. taso ni li tan sin ona anu seme.
ken la tomo li sin ala la moli la ike. ken la mi o utala e ni.
taso tenpo mute la mi sona ala e ni: mi o toki e seme.
ken la. ken la ken la ken la. mi o sitelen pona luka lon tomo nanpa toki-pi-sona-kulupu.
ona li kama e toki mute lon mi lon jan ante mute li ken wawa e ni: mi wawa e wile pi sitelen luka lon jan ante.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skew ""ante"" is used 2 time.
Face ""moli"" is used 1 time.
Directional ni is used 3 times.
Long pi is used 2 times.",,"Mi and o are merged together.
Long pi is used in cartouches.
Stacking and scaling are used."
6/19/2024 13:59:45,https://drive.google.com/open?id=1lz7ySRbLSn1JnSTtNuRuW-0QMD0frh5E,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1219411973897326784,Discord,3/18/2024,.hecko,,,,,lon. mi o lili anu pona e nasa musi mi. e nusi mi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stacking and scaling are not used.
6/19/2024 14:00:34,https://drive.google.com/open?id=1nVF64VgUcjVtuUZ8s79RcOSXub-EdeEU,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1219413568194216076,Discord,3/18/2024,.hecko,,,,,linja monsi mi li pini alaaaaaaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stacking and scaling are not used.
6/19/2024 14:01:21,https://drive.google.com/open?id=1WpguFSmtWEi76-N2Ai3P1tw-9tptdhMw,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1227739183359987782,Discord,4/10/2024,.hecko,,,,,toki. jan Kona o. o musi pona lon tomo sitelen ni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stacking and scaling are used.
Nasin Kalama Sitelen is used."
6/19/2024 14:03:05,https://drive.google.com/open?id=19i6E3cF3bk9yVLuOmSNeRrEutqZN9Yaw,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1229725744524169279,Discord,4/16/2024,.hecko,,,,,"mi lukin sin li kama sona. sitelen pi jan pan la nimi ""seme"" wan taso li wile.
sitelen open en sitelen pini li nimi ala li tan nasin pi toki 🇪🇸. nasa a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Long pi is used 1 time.
Spain name glyph is used 1 time.",,"Kama and sona are merged into one glyph.
Te and to are used.
Stacking and scaling is not used.
Cartouche is underlined by long pi."
